run_ts_utc,target_close_date_utc,symbol,forecast_close,h1_rmse,h1_mse,h1_mae,h1_mape,h1_smape,h1_r²,h1_explained_variance,h1_gamma_deviance,h1_poisson_deviance
2025-10-03T20:26:32,2023-10-16,BTCUSDT,26978.72265625,534.9742361553144,286197.4333499621,355.7581763376224,0.0127097566841626,0.012736964282386,0.8858365279332396,0.8871422926027176,0.0003688223573342,10.262302105609992
2025-10-03T20:34:51,2023-10-16,BTCUSDT,27090.658203125,538.2287842151119,289690.2241576775,365.23651002450976,0.0130842099759939,0.0130601962383303,0.8844432620288454,0.88548485035915,0.0003710558036014,10.356397099681107
2025-10-03T20:41:57,2023-10-16,BTCUSDT,27004.61328125,542.620599819637,294437.11534862267,363.9100988180146,0.0130156992035796,0.0130200975754668,0.8825497384792518,0.8825906849423663,0.000378350958968,10.543181352257092
2025-10-03T21:01:23,2023-10-16,BTCUSDT,27033.91015625,522.8505676511435,273372.71609312296,343.81738281556363,0.0122825816602632,0.0123029690200171,0.8909522769921243,0.891735850639188,0.000351675692401,9.793721039267991
2025-10-05T08:11:03,2025-10-06,BTCUSDT,124025.9296875,2144.419708345288,4598535.885539691,1565.5527110042733,0.0162160165715633,0.016220401013202,0.973706602162455,0.973721417492416,0.0005168620959104,48.313938587196695
2025-10-06T02:02:09,2025-10-07,BTCUSDT,123345.15625,2156.2618932809373,4649465.352415492,1576.2730030270666,0.0162796688637135,0.0162898042658693,0.9732385319466068,0.9733084699301304,0.0005206347091425,48.75840486099977
2025-10-07T01:58:41,2025-10-08,BTCUSDT,124519.984375,2163.245848837099,4679632.602510941,1595.1397168803417,0.0165118993847189,0.0165007043565423,0.9729204440547596,0.9729648388693762,0.0005259271824394,49.16331809251075
2025-10-08T01:58:32,2025-10-09,BTCUSDT,120663.1875,2185.4899430277032,4776366.291075233,1626.5269204059828,0.0166885984628945,0.0167229415509247,0.9720840458133364,0.9724994452171972,0.0005296457501964,49.83237719465672
2025-10-09T01:59:59,2025-10-10,BTCUSDT,121928.375,2168.8081779748645,4703728.912850651,1582.4544284188034,0.0162365633045643,0.0162647853793867,0.9722651880886908,0.972444960173433,0.0005238671037905,49.18988228243144
2025-10-10T02:00:22,2025-10-11,BTCUSDT,120766.0078125,2174.31752467823,4727656.698122864,1617.1927015269887,0.016657516148454468,0.01665044041349082,0.972259502613113,0.9722663542915215,0.0005259355295718221,49.412266865007375
